Pulsar,P (s),DM_ATNF (pc cm^-3),DM_Epoch^ATNF,DM_LWA1 (pc cm^-3),DM_Epoch^LWA1,DM_UTR2 (pc cm^-3),DM_Epoch^UTR2
J0030+0451,0.0049,4.333(1),50984,4.33252(4),56560, ,  %-3.1441893830734E-5
B0031-07,0.9430,11.38(8),46635,10.922(6),56843,10.896(4),55480 %-0.016387588166144
J0034-0534,0.0019,13.76517(4),50690,13.76505(4),56631, ,  %-7.3775458676382E-6
B0138+59,1.2229,34.797(11),49293,34.926(4),56563, ,  %0.0064810522696013
B0149-16,0.8327,11.922(4),48227,11.92577(4),56955, ,  %0.00015776724335469
B0301+19,1.3876,15.737(9),49289,15.68(3),57035, ,  %-0.0026877420604183
B0320+39,3.0321,26.01(3),49290,26.173(2),56563,26.162(11),55480 %0.0081858586553003
B0329+54,0.7145,26.7641(1),46473,26.779(1),56364,25.661(11),55480 %0.00055021989687598
B0355+54,0.1564,57.1420(3),49616,57.1453(8),56674, ,  %0.00017077429866796
B0450+55,0.3407,14.495(7),49910,14.5943(9),56564,14.602(5),55480 %0.0054507551848513
B0525+21,3.7455,50.937(17),54200,50.93(1),56565, ,  %-0.0010810782241012
B0628-28,1.2444,34.468(17),46603,34.425(1),56706, ,  %-0.001554563001089
B0655+64,0.1957,8.771(5),48806,8.777(1),56639, ,  %0.00027977786288771
B0809+74,1.2922,5.733(1),49162,5.771(2),56285,5.755(3),55480 %0.0019485469605503
B0818-13,1.2381,40.938(3),48904,40.981(2),56568, ,  %0.0020492888830897
B0823+26,0.5307,19.454(4),46450,19.4789(2),56665,19.484(6),55480 %0.00089033039647573
B0834+06,1.2738,12.889(6),48721,12.8640(4),56864,12.872(4),55480 %-0.0011213619059314
B0906-17,0.4016,15.888(3),48737,15.879(2),56980, ,  %-0.00039879291520079
B0919+06,0.4306,27.271(6),55140,27.2986(5),56285,27.316(6),55480 %0.0088042794759824
B0943+10,1.0977,15.4(5),48483,15.334(1),56365,15.339(4),55480 %-0.0030584242578026
B0950+08,0.2531,2.958(3),46375,2.96927(8),56285,2.972(2),55480 %0.0004153751261352
B1112+50,1.6564,9.195(8),49334,9.1830(4),56687,9.185(4),55480 %-0.00059608323133417
B1133+16,1.1879,4.8451(1),46407,4.8480(2),56743,4.846(2),55480 %0.00010247919891639
B1237+25,1.3824,9.242(6),46531,9.2575(3),56864,9.268(2),55480 %0.0005478926739572
B1508+55,0.7397,19.613(20),49904,19.6191(3),56284,19.622(9),55480 %0.00034922021943574
B1540-06,0.7091,18.403(4),49423,18.3774(9),56842,18.334(100),55480 %-0.0012603315810755
B1541+09,0.7484,35.24(3),48716,35.012(5),56842, ,  %-0.010248215604233
B1604-00,0.4218,10.682(5),46973,10.6823(1),56843,10.688(2),55480 %1.1101823708181E-5
B1612+07,1.2068,21.39(3),49897,21.3949(3),56843,21.402(14),55480 %0.00025766268355884
B1642-03,0.3877,35.727(3),46515,35.7555(8),56842, ,  %0.0010080008715019
B1706-16,0.6531,24.873(5),46993,24.891(1),56843, ,  %0.0006674619289339
B1749-28,0.5626,50.372(8),46483,50.39(1),56568, ,  %0.00065190877540905
B1822-09,0.7690,19.38(4),54262,19.3833(9),56843,19.408(21),55480 %0.00046699922510646
B1839+56,1.6529,26.698(11),48717,26.774(1),56843,26.804(6),55480 %0.0034160718680778
B1842+14,0.3755,41.510(4),49362,41.498(1),56860, ,  %-0.00058455588156844
B1919+21,1.3373,12.4370(1),48999,12.4386(3),56830,12.435(4),55480 %7.4626484484732E-5
B1929+10,0.2265,3.180(4),46523,3.1828(5),56294,3.180(2),55480 %0.000104666871354
B2016+28,0.5580,14.172(4),46384,14.1977(6),57009,14.200(7),55480 %0.0008834752941176
B2020+28,0.3434,24.640(3),49692,24.632(1),56567, ,  %-0.00042501818181814
B2110+27,1.2029,25.113(4),48741,25.1171(2),56842,25.114(18),55480 %0.00018485680780156
J2145-0750,0.0161,8.9977(14),53040,9.00470(9),56403, ,  %0.0007602586975914
B2217+47,0.5385,43.519(12),46599,43.4975(5),56842, ,  %-0.00076665771746545
B2303+30,1.5759,49.544(16),48714,49.639(6),57048, ,  %0.0041635169186468
B2327-20,1.6436,8.458(13),49878,8.456(2),56979, ,  %-0.00010287283481203
